#MAIN_PLAN,ADDITIONAL_PLAN,PKG_TYPE
WEST PRIME SP 12M,WEST ADDITIONAL PRIME SP 12M,0
WEST PRIME SP 1M,WEST ADDITIONAL PRIME SP 1M,0
WEST PRIME SP 3M,WEST ADDITIONAL PRIME SP 3M,0
WEST PRIME SP 6M,WEST ADDITIONAL PRIME SP 6M,0
WEST ROYAL HD PP 12M,WEST ADDITIONAL ROYAL HD PP 12M,0
WEST ROYAL HD PP 1M,WEST ADDITIONAL ROYAL HD PP 1M,0
WEST ROYAL HD PP 3M,WEST ADDITIONAL ROYAL HD PP 3M,0
WEST ROYAL HD PP 6M,WEST ADDITIONAL ROYAL HD PP 6M,0
WEST ROYAL HD SP 12M,WEST ADDITIONAL ROYAL HD SP 12M,0
WEST ROYAL HD SP 1M,WEST ADDITIONAL ROYAL HD SP 1M,0
WEST ROYAL HD SP 3M,WEST ADDITIONAL ROYAL HD SP 3M,0
WEST ROYAL HD SP 6M,WEST ADDITIONAL ROYAL HD SP 6M,0
WEST ROYAL PP 12M,WEST ADDITIONAL ROYAL PP 12M,0
WEST ROYAL PP 1M,WEST ADDITIONAL ROYAL PP 1M,0
WEST ROYAL PP 3M,WEST ADDITIONAL ROYAL PP 3M,0
WEST ROYAL PP 6M,WEST ADDITIONAL ROYAL PP 6M,0
WEST ROYAL SP 12M,WEST ADDITIONAL ROYAL SP 12M,0
WEST ROYAL SP 1M,WEST ADDITIONAL ROYAL SP 1M,0
WEST ROYAL SP 3M,WEST ADDITIONAL ROYAL SP 3M,0
WEST ROYAL SP 6M,WEST ADDITIONAL ROYAL SP 6M,0
